Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%),Year,Color
1861-10,-0.47664646499999996,-0.6651524,-0.1630059,1861,#57adea
1861-11,-0.45758947,-0.8197948,-0.0661525,1861,#409fe2
1861-12,-0.35085425000000003,-0.79000485,0.15257171,1861,#2b8dd3
1862-01,-0.8248372,-1.6397761,-0.58626443,1862,#c2e6ff
1862-02,-0.7155355999999999,-1.6376287,-0.37167704,1862,#a2d9ff
1862-03,-0.5353963,-1.5233718,-0.1508999,1862,#57adea
1862-04,-0.522084545,-1.266724,-0.32968742,1862,#57adea
1862-05,-0.34752535,-0.9273331,-0.1763539,1862,#2b8dd3
1862-06,-0.30661138,-0.6985704,-0.1285439,1862,#1d7ec3
1862-07,-0.344870585,-0.6342535,-0.045208603,1862,#2b8dd3
1862-08,-0.456180795,-0.59613025,-0.0011536513,1862,#409fe2
1862-09,-0.36242421,-0.62878174,-0.050759755,1862,#2b8dd3
1862-10,-0.448670265,-0.7804526,-0.25400478,1862,#409fe2
1862-11,-0.67775545,-1.3379437,-0.50960374,1862,#86c9f9
1862-12,-0.8945406499999999,-1.782404,-0.7787578,1862,#ddf1ff
1863-01,-0.07634222499999999,-0.3723958,0.7494487,1863,#04538c
1863-02,-0.24953309499999998,-0.97733814,0.4522092,1863,#1d7ec3
1863-03,-0.3549987,-0.97949773,0.30978352,1863,#2b8dd3
1863-04,-0.28827204,-0.76569813,0.13293338,1863,#1d7ec3
1863-05,-0.38365689999999997,-0.5442394,0.16112496,1863,#2b8dd3
1863-06,-0.368286715,-0.5888666,0.014259348,1863,#2b8dd3
1863-07,-0.312334685,-0.6205999,0.117179014,1863,#2b8dd3
1863-08,-0.29738237,-0.51653177,0.15467115,1863,#1d7ec3
1863-09,-0.352041125,-0.6170939,0.1830491,1863,#2b8dd3
1863-10,-0.50432718,-0.9698341,-0.32866937,1863,#57adea
1863-11,-0.440558035,-0.8607212,-0.050726444,1863,#409fe2
1863-12,-0.50319575,-1.1684574,-0.14184579,1863,#57adea
1864-01,-0.853236375,-1.563293,-0.35973752,1864,#ddf1ff
1864-02,-0.593441465,-1.3289528,0.15794559,1864,#6fbcf3
1864-03,-0.499396865,-1.1829586,0.16804239,1864,#57adea
1864-04,-0.5435886,-1.0345647,-0.08232102,1864,#6fbcf3
1864-05,-0.323811075,-0.7189546,0.06826252,1864,#2b8dd3
1864-06,-0.11254484000000001,-0.08948204,0.4593835,1864,#0a619f
1864-07,-0.25960585,-0.46240798,0.20825946,1864,#1d7ec3
1864-08,-0.30794879,-0.3261459,0.3741843,1864,#2b8dd3
1864-09,-0.442531705,-0.7227227,-0.031745624,1864,#409fe2
1864-10,-0.60290937,-0.9922864,-0.3952366,1864,#6fbcf3
1864-11,-0.456238765,-1.067424,-0.3431353,1864,#409fe2
1864-12,-0.59032719,-1.4278647,-0.38765028,1864,#6fbcf3
1865-01,-0.1760970215,-0.5573,0.532573,1865,#1371b4
1865-02,-0.46668037,-1.5601991,0.040138498,1865,#57adea
1865-03,-0.66122115,-1.8225701,-0.28108984,1865,#86c9f9
1865-04,-0.4481533,-1.2296966,-0.24140596,1865,#409fe2
1865-05,-0.37746775,-0.647213,0.12840398,1865,#2b8dd3
1865-06,-0.1951586915,-0.38769388,0.26338106,1865,#1371b4
